Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
LEMD3,Q9Y2U8,NP_055134,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MKNK2,Q9HBH9,NP_951009,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
STK17A,Q9UEE5,NP_004751,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DDX11,Q96FC9,NP_001244073,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CACNA1D,Q01668,NP_001122312,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
KIT,P10721,NP_000213,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
STK32B,Q9NY57,NP_060871,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MRE11,P49959,NP_005582,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NUAK2,Q9H093,NP_112214,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HNF1A,P20823,NP_000536,0,"Anu Oswal (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PRKAB2,O43741,NP_005390,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SOX21,Q9Y651,NP_009015,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ARID1A,O14497,NP_006006,1,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/arid1a/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ULK1,O75385,NP_003556,3,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ulk1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MRPL4,Q9BYD3,NP_057040,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CANT1,Q8WVQ1,NP_001153245,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FANCM,Q8IYD8,NP_065988,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAP3K1,Q13233,NP_005912,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",False,Q13233_cut.B99990001_renum.pdb,
UPF2,Q9HAU5,NP_056357,2,"Edene-Levine (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/upf2/,,,AFDB,AlphaFold database,False,,
NUP93,Q8N1F7,NP_055484,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DYRK1B,Q9Y463,NP_004705,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FGFR3,P22607,,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
STAG2,Q8N3U4,NP_001036216,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DHFR,P00374,NP_000782,0,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BUB3,O43684,NP_004716,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKN1C,P49918,NP_001116102,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAPK1,P28482,NP_002736,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
BUB1B,O60566,NP_001202,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ERCC8,Q13216,NP_000073,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CASP3,P42574,NP_116786,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/casp3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TSSK2,Q96PF2,NP_443732,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ARAF,P10398,NP_001645,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PI4KA,P42356,NP_477352,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
LATS2,Q9NRM7,NP_055387,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CASP8,Q14790,NP_203519,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DEFB104B,Q8WTQ1,NP_001035792,0,"Laura Bauer (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HMGB2,P26583,NP_002120,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PNCK,Q6P2M8,NP_001353906,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ING1,Q9UK53,,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EGLN2,Q96KS0,NP_542770,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PTPN11,Q06124,NP_002825,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
COQ8B,Q96D53,NP_079152,2,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark), Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/coq8b/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PTPRB,P23467,NP_002828,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DAXX,Q9UER7,NP_001135441,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HAVCR2,Q8TDQ0,NP_116171,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AXIN1,O15169,NP_003493,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AMHR2,Q16671,NP_065434,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
IL21R,Q9HBE5,NP_851564,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NCS1,P62166,NP_055101,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,PDB,Experimental PDB structure,False,2LCP,
SALL4,Q9UJQ4,NP_065169,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
E2F1,Q01094,NP_005216,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CHD2,O14647,NP_001262,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CHEK2,O96017,NP_009125,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
LZTR1,Q8N653,NP_006758,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RBMXL1,Q96E39,NP_001156008,0,"Eszter Toldi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RHOH,Q15669,NP_004301,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCL10,O95999,NP_003912,2,"Terezia Dorcakova (DCI, Denmark), Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bcl-proteins/bcl10,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
YWHAE,P62258,NP_006752,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CSF3R,Q99062,NP_000751,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDH10,Q9Y6N8,NP_006718,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TBX5,Q99593,NP_852259,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ALPK2,Q86TB3,NP_443179,2,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/alpk-proteins/alpk2/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PXN,P49023,NP_001074324,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KRAS-GDP,P01116,NP_203524,2,"Paraskevi Saridaki (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/kras,5.5,atomic_contacts,PDB,Experimental PDB structure,False,8T71,
PIGT,Q969N2,NP_057021,0,"Natalia Feced Garcia (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GNAQ,P50148,NP_002063,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ATG2A,Q2TAZ0,NP_055919,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg2a,,,AFDB,AlphaFold database,False,,
SLC35G5,Q96KT7,NP_473369,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
POMK,Q9H5K3,NP_115613,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
AMER1,Q5JTC6,NP_689637,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
EIF3H,O15372,NP_003747,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
USP17L7,P0C7H9,NP_001243798,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RNF43,Q68DV7,NP_060233,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MYH9,P35579,NP_002464,0,"Pablo Sanchez-Izquierdo (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CXCR4,P61073,NP_003458,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ZKSCAN8,Q15776,NP_006289,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GAB2,Q9UQC2,NP_536739,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
KDM1A,O60341,NP_055828,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GLUD1,P00367,NP_005262,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ELANE,P08246,NP_001963,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GLI1,P08151,NP_005260,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
COL18A1,P39060,,0,"Kristine Degn (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SOD1,P00441,NP_000445,0,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AKT1,P31749,NP_001014431,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MLH3,Q9UHC1,NP_001035197,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ABCB6,Q9NP58,NP_005680,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/abcb6,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HAGHL,Q6PII5,NP_996995,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark), Edene Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MARK1,Q9P0L2,NP_061120,0,"Matteo TIberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BRF1,P55201,NP_004625,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
UBE2G2,P60604,NP_003334,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark), Elena Papaleo (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DNAJB1,P25685,NP_006136,0,"Vinit Nilesh Vasa (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FOXA1,P55317,NP_004487,0,"Anna Melidi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRSS55,Q6UWB4,NP_940866,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TSSK6,Q9BXA6,NP_114426,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PSG3,Q16557,NP_066296,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FLT1,O75955,NP_005794,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
VHL,P40337,NP_000542,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AXL,P30530,NP_068713,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GZMM,P51124,NP_005308,0,Guglielmo Tedeschi ('UCT Czech Republic'),,,,AFDB,AlphaFold database,False,,
MYCL,P12524,NP_001028253,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NR1H2,P55055,NP_009052,0,"Subhayan Akhuli (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
AXIN2,Q9Y2T1,NP_004646,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ROBO2,Q9HCK4,NP_002933,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DDIT3,P35638,NP_004074,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SDHB,P21912,NP_002991,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
WDR45,Q9Y484,NP_001025067,0,"Zeming Hou (DCI, Denmark, DTU, Denmark), Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FBXO39,Q8N4B4,NP_694962,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TRIM40,Q6P9F5,NP_001273562,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MYC,P01106,NP_002458,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RAD51D,O75771,NP_002869,0,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
STK38L,Q9Y2H1,NP_055815,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIP5K1A,Q99755,NP_001129110,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
WIPI2,Q9Y4P8,NP_056425,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ELL,P55199,NP_006523,0,"Ludovica Beltrame (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RAB14,P61106,NP_057406,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ALDH1A1,P00352,NP_000680,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/aldh1a1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ACD,Q96AP0,NP_001075955,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FPR1,P21462,NP_002020,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TGFB2,P61812,NP_003229,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIP5K1B,O14986,NP_003549,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PSKH2,Q96QS6,NP_149117,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TGFBR2,P37173,NP_003233,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ERCC5,P28715,NP_000114,0,"Alberte Heering Estad (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ELF4,Q99607,NP_001412,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIM1,P11309,NP_002639,2,"Kristine Degn (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pim1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MYD88,Q99836,NP_002459,0,"Konstantina Gkopi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZNF300,Q96RE9,NP_443092,0,"Subhayan Akhuli (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CD274,Q9NZQ7,NP_054862,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ATG7,O95352,NP_006386,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RIPK2,O43353,NP_003812,2,"Kristine Degn (DTU, Denmark), Karolina Krzesińska (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ripk2,,,AFDB,AlphaFold database,False,,
POLE,Q07864,NP_006222,0,"Ludovica Beltrame (DTU, Denmark), Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,"Zn2+, Zn2+"
MSH6,P52701,NP_000170,2,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark), Ludovica Beltrame (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/msh6/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAX,P61244,NP_002373,0,"Anna Melidi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GALNT12,Q8IXK2,NP_078918,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MECP2,P51608,NP_004983,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
USP17L2,Q6R6M4,NP_958804,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ADH1C,P00326,NP_000660,1,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/adh-proteins/adh1c,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NDRG4,Q9ULP0,NP_001229764,0,"Konstantina Gkopi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDKN2D,P55273,NP_001791,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SFPQ,P23246,NP_005057,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NFIX,Q14938,NP_001352831,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDH1,P12830,NP_004351,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RASA1,P20936,NP_002881,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
WWOX,Q9NZC7,NP_057457,0,"Eszter Toldi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,Mod,"Homology model (PDB template, reconstruction)",True,AFDB-Mod,
PRAMEF4,O60810,NP_001009611,0,"Laura Kappel (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MTAP,Q13126,NP_002442,0,"Konstantina Gkopi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG4B,Q9Y4P1,NP_037457,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg4b/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ETNK1,Q9HBU6,,0,"Lorenzo Favaro (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CASP10,Q92851,NP_116756,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
LMNA,P02545,NP_733821,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKL3,Q8IVW4,NP_001107047,2,"Matteo Lambrughi (DCI, Denmark), Jeremy Vinhas (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk/cdkl3,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ERCC6L2,Q5T890,NP_064592,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AF3,AlphaFold3 webserver,False,,
CHUK,O15111,NP_001269,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIK3C2B,O00750,NP_002637,0,"Matteo Tiberti (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PTPRK,Q15262,NP_001278913,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
WDR45B,Q5MNZ6,NP_062559,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PELI3,Q8N2H9,NP_659502,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/peli3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TEAD4,Q15561,NP_003204,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRPF4B,Q13523,NP_003904,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DIS3L2,Q8IYB7,NP_689596,2,"Konstantina Gkopi (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dis3l2/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FAAP100,Q0VG06,NP_079437,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",True,Mod_Q0VG06.pdb,
EHD2,Q9NZN4,NP_055416,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MED23,Q9ULK4,NP_004821,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FADD,Q13158,NP_003815,0,"Michal Sitek (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ARNT,P27540,NP_001659,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
UVRAG,Q9P2Y5,NP_003360,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HNRNPA2B1,P22626,NP_112533,0,"Martina Bellini (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ARHGEF12,Q9NZN5,NP_056128,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/arhgef12,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRAMEF6,Q5VXH4,NP_001010889,0,"Kristine Degn (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
XBP1,P17861,NP_005071,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MNX1,P50219,NP_005506,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAST3,O60307,NP_055831,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
EPS15,P42566,NP_001972,0,"Ludovica Beltrame (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ALDH3B2,P48448,NP_001380331,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FXN,Q16595,NP_000135,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TNFAIP8L3,Q5GJ75,NP_997264,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PTEN,P60484,NP_000305,3,"Terezia Dorcakova (DCI, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pten/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LRIG3,Q6UXM1,NP_700356,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,,,AFDB,AlphaFold database,False,,
